Model,F1_Macro,AUC_Macro
Real,0.0894980898204329,0.5339512666275814
Real+CGAN,0.0919203498344999,0.5340981162770413
ROS,0.0855988006525293,0.5630035003187422
TSTR,0.0001570105197048,0.5
