Typology,DP_Real,EO_Real,DP_Aug,EO_Aug,DP_Gap,EO_Gap
0,1.0,1.0,0.8461538461538461,0.8461538461538461,-0.1538461538461538,-0.1538461538461538
1,1.0,1.0,0.782051282051282,0.782051282051282,-0.2179487179487179,-0.2179487179487179
2,1.0,1.0,0.3589041095890411,0.3589041095890411,-0.6410958904109589,-0.6410958904109589
3,1.0,1.0,0.4731182795698925,0.4731182795698925,-0.5268817204301075,-0.5268817204301075
4,1.0,1.0,0.8243243243243243,0.8243243243243243,-0.1756756756756756,-0.1756756756756756
5,1.0,1.0,0.4782608695652174,0.4782608695652174,-0.5217391304347826,-0.5217391304347826
6,1.0,1.0,0.4854111405835544,0.4854111405835544,-0.5145888594164456,-0.5145888594164456
7,1.0,1.0,0.2836676217765043,0.2836676217765043,-0.7163323782234957,-0.7163323782234957
8,1.0,1.0,0.9072681704260652,0.9072681704260652,-0.0927318295739348,-0.0927318295739348
9,1.0,1.0,0.3488372093023256,0.3488372093023256,-0.6511627906976745,-0.6511627906976745
10,1.0,1.0,0.3990719257540603,0.3990719257540603,-0.6009280742459397,-0.6009280742459397
11,0.0162244245524296,0.0162244245524296,0.0137746467787004,0.0137746467787004,-0.0024497777737292,-0.0024497777737292
12,0.4943537534374817,0.4943537534374817,0.4741124688712573,0.4741124688712573,-0.0202412845662244,-0.0202412845662244
13,0.6743780343033176,0.6743780343033176,0.6733496477945737,0.6733496477945737,-0.0010283865087438,-0.0010283865087438
14,0.8000906284736073,0.8000906284736073,0.8083761939750184,0.8083761939750184,0.008285565501411,0.008285565501411
15,0.0008587376556462,0.0008587376556462,0.0298448070035813,0.0298448070035813,0.0289860693479351,0.0289860693479351
16,0.0046500577014459,0.0046500577014459,0.0073218051455082,0.0073218051455082,0.0026717474440622,0.0026717474440622
17,0.3549612403100775,0.3549612403100775,0.3304374102893405,0.3304374102893405,-0.024523830020737,-0.024523830020737
18,0.0466142844530767,0.0466142844530767,0.0452092942302671,0.0452092942302671,-0.0014049902228095,-0.0014049902228095
19,0.1021452145214521,0.1021452145214521,0.1651104886399004,0.1651104886399004,0.0629652741184482,0.0629652741184482
20,0.6851695177565466,0.6851695177565466,0.6854359074791787,0.6854359074791787,0.0002663897226321,0.0002663897226321
21,0.2315015144958892,0.2315015144958892,0.4512241054613936,0.4512241054613936,0.2197225909655043,0.2197225909655043
22,1.0,1.0,0.6243243243243243,0.6243243243243243,-0.3756756756756757,-0.3756756756756757
23,1.0,1.0,0.3183023872679045,0.3183023872679045,-0.6816976127320955,-0.6816976127320955
24,1.0,1.0,0.5891089108910891,0.5891089108910891,-0.4108910891089109,-0.4108910891089109
25,1.0,1.0,0.5730088495575221,0.5730088495575221,-0.4269911504424779,-0.4269911504424779
26,1.0,1.0,0.4921052631578947,0.4921052631578947,-0.5078947368421053,-0.5078947368421053
27,1.0,1.0,0.748792270531401,0.748792270531401,-0.251207729468599,-0.251207729468599
