,precision,recall,f1-score,support
0,0.0,0.0,0.0,11.0
1,0.0,0.0,0.0,6.0
2,0.0,0.0,0.0,5.0
3,0.0,0.0,0.0,24.0
4,0.0,0.0,0.0,3.0
5,0.0,0.0,0.0,20.0
6,0.0,0.0,0.0,7.0
7,0.0,0.0,0.0,3.0
8,0.0,0.0,0.0,7.0
9,0.0,0.0,0.0,6.0
10,0.0,0.0,0.0,16.0
11,0.11631866654718165,0.778021978021978,0.20238033366249153,5005.0
12,0.404115881668402,0.965184318314804,0.5697016794024953,6836.0
13,0.3839373392564882,0.34935324653221,0.36582975026176845,47004.0
14,0.41501381386334585,0.38980228122155736,0.40201316144236626,51639.0
15,0.007388798581350673,0.0536480686695279,0.012988699831146904,932.0
16,0.13502311493703173,0.07187102248621129,0.09380883818806068,11785.0
17,0.06873280041934215,0.4065891472868217,0.11758771438179576,2580.0
18,0.06104535177550206,0.1013021408077687,0.0761825726141079,4531.0
19,0.025362318840579712,0.06353135313531354,0.03625235404896422,1212.0
20,0.8825713169206721,0.1165121167958523,0.20584917913253506,77537.0
21,0.19308208569953536,0.8095238095238095,0.3117965819091288,462.0
22,0.0,0.0,0.0,1.0
23,0.0,0.0,0.0,2.0
24,0.0,0.0,0.0,6.0
25,0.0,0.0,0.0,16.0
26,0.0,0.0,0.0,12.0
27,0.0011938354677664424,0.23404255319148937,0.0023755533959615594,47.0
accuracy,0.28106239420165463,0.28106239420165463,0.28106239420165463,0.28106239420165463
macro avg,0.09620661871347136,0.15497792985669084,0.08559880065252938,209715.0
weighted avg,0.5408587481573358,0.28106239420165463,0.2898106619396303,209715.0
