Source,MIA_Accuracy,F1_Score,AUC_Score,Generalization_F1
Real,,0.4884326144539919,0.7921908200890488,
CGAN,0.500000476837613,9.518193587476467e-06,0.5000036791749805,9.518193587476467e-06
DP-CGAN,0.51,9.186250857548429e-10,0.47825228198890335,9.186250857548429e-10
