Typology,DP_Aug,EO_Aug
0,0.8461538461538461,0.8461538461538461
1,0.782051282051282,0.782051282051282
2,0.3589041095890411,0.3589041095890411
3,0.4731182795698925,0.4731182795698925
4,0.8243243243243243,0.8243243243243243
5,0.4782608695652174,0.4782608695652174
6,0.4854111405835544,0.4854111405835544
7,0.2836676217765043,0.2836676217765043
8,0.9072681704260651,0.9072681704260651
9,0.3488372093023256,0.3488372093023256
10,0.3990719257540603,0.3990719257540603
11,0.01377464677870046,0.01377464677870046
12,0.4741124688712573,0.4741124688712573
13,0.6733496477945737,0.6733496477945737
14,0.8083761939750184,0.8083761939750184
15,0.029844807003581376,0.029844807003581376
16,0.007321805145508224,0.007321805145508224
17,0.3304374102893405,0.3304374102893405
18,0.045209294230267164,0.045209294230267164
19,0.1651104886399004,0.1651104886399004
20,0.6854359074791787,0.6854359074791787
21,0.4512241054613936,0.4512241054613936
22,0.6243243243243243,0.6243243243243243
23,0.3183023872679045,0.3183023872679045
24,0.5891089108910891,0.5891089108910891
25,0.5730088495575221,0.5730088495575221
26,0.4921052631578947,0.4921052631578947
27,0.748792270531401,0.748792270531401
