Typology,DP_Real,EO_Real,DP_Aug,EO_Aug,DP_Gap,EO_Gap
0,1.0,1.0,0.8461538461538461,0.8461538461538461,-0.15384615384615385,-0.15384615384615385
1,1.0,1.0,0.782051282051282,0.782051282051282,-0.21794871794871795,-0.21794871794871795
2,1.0,1.0,0.3589041095890411,0.3589041095890411,-0.6410958904109589,-0.6410958904109589
3,1.0,1.0,0.4731182795698925,0.4731182795698925,-0.5268817204301075,-0.5268817204301075
4,1.0,1.0,0.8243243243243243,0.8243243243243243,-0.17567567567567566,-0.17567567567567566
5,1.0,1.0,0.4782608695652174,0.4782608695652174,-0.5217391304347826,-0.5217391304347826
6,1.0,1.0,0.4854111405835544,0.4854111405835544,-0.5145888594164456,-0.5145888594164456
7,1.0,1.0,0.2836676217765043,0.2836676217765043,-0.7163323782234957,-0.7163323782234957
8,1.0,1.0,0.9072681704260651,0.9072681704260651,-0.09273182957393489,-0.09273182957393489
9,1.0,1.0,0.3488372093023256,0.3488372093023256,-0.6511627906976745,-0.6511627906976745
10,1.0,1.0,0.3990719257540603,0.3990719257540603,-0.6009280742459397,-0.6009280742459397
11,0.01622442455242967,0.01622442455242967,0.01377464677870046,0.01377464677870046,-0.0024497777737292094,-0.0024497777737292094
12,0.4943537534374817,0.4943537534374817,0.4741124688712573,0.4741124688712573,-0.020241284566224427,-0.020241284566224427
13,0.6743780343033176,0.6743780343033176,0.6733496477945737,0.6733496477945737,-0.001028386508743817,-0.001028386508743817
14,0.8000906284736073,0.8000906284736073,0.8083761939750184,0.8083761939750184,0.008285565501411019,0.008285565501411019
15,0.0008587376556462001,0.0008587376556462001,0.029844807003581376,0.029844807003581376,0.028986069347935177,0.028986069347935177
16,0.00465005770144593,0.00465005770144593,0.007321805145508224,0.007321805145508224,0.0026717474440622942,0.0026717474440622942
17,0.35496124031007753,0.35496124031007753,0.3304374102893405,0.3304374102893405,-0.024523830020737047,-0.024523830020737047
18,0.04661428445307672,0.04661428445307672,0.045209294230267164,0.045209294230267164,-0.0014049902228095573,-0.0014049902228095573
19,0.10214521452145214,0.10214521452145214,0.1651104886399004,0.1651104886399004,0.06296527411844827,0.06296527411844827
20,0.6851695177565466,0.6851695177565466,0.6854359074791787,0.6854359074791787,0.0002663897226321543,0.0002663897226321543
21,0.23150151449588924,0.23150151449588924,0.4512241054613936,0.4512241054613936,0.21972259096550434,0.21972259096550434
22,1.0,1.0,0.6243243243243243,0.6243243243243243,-0.3756756756756757,-0.3756756756756757
23,1.0,1.0,0.3183023872679045,0.3183023872679045,-0.6816976127320955,-0.6816976127320955
24,1.0,1.0,0.5891089108910891,0.5891089108910891,-0.4108910891089109,-0.4108910891089109
25,1.0,1.0,0.5730088495575221,0.5730088495575221,-0.42699115044247793,-0.42699115044247793
26,1.0,1.0,0.4921052631578947,0.4921052631578947,-0.5078947368421053,-0.5078947368421053
27,1.0,1.0,0.748792270531401,0.748792270531401,-0.25120772946859904,-0.25120772946859904
